index,statement_type,gold
1,medical,Contradiction
16,medical,Contradiction
29,medical,Contradiction
30,medical,Contradiction
47,medical,Contradiction
78,medical,Contradiction
84,medical,Contradiction
85,medical,Contradiction
94,medical,Contradiction
120,medical,Contradiction
122,medical,Entailment
135,medical,Contradiction
136,medical,Contradiction
139,medical,Contradiction
144,medical,Contradiction
145,medical,Contradiction
155,medical,Contradiction
165,medical,Contradiction
175,medical,Entailment
177,medical,Contradiction
182,medical,Contradiction
209,medical,Contradiction
231,medical,Contradiction
241,medical,Entailment
246,medical,Contradiction
267,medical,Contradiction
280,medical,Contradiction
281,medical,Contradiction
282,medical,Entailment
302,medical,Entailment
316,medical,Contradiction
318,medical,Contradiction
336,medical,Contradiction
351,medical,Entailment
367,medical,Contradiction
388,medical,Contradiction
392,medical,Entailment
393,medical,Contradiction
410,medical,Contradiction
412,medical,Contradiction
413,medical,Contradiction
423,medical,Contradiction
425,medical,Contradiction
428,medical,Entailment
441,medical,Contradiction
445,medical,Contradiction
447,medical,Entailment
455,medical,Contradiction
457,medical,Contradiction
458,medical,Entailment
475,medical,Contradiction
482,medical,Contradiction
493,medical,Contradiction
497,medical,Contradiction
504,medical,Contradiction
508,medical,Contradiction
514,medical,Contradiction
521,medical,Contradiction
531,medical,Contradiction
555,medical,Contradiction
576,medical,Contradiction
582,medical,Contradiction
583,medical,Contradiction
587,medical,Contradiction
592,medical,Contradiction
593,medical,Entailment
600,medical,Contradiction
601,medical,Contradiction
602,medical,Contradiction
642,medical,Contradiction
656,medical,Entailment
660,medical,Contradiction
672,medical,Contradiction
686,medical,Contradiction
725,medical,Contradiction
727,medical,Contradiction
731,medical,Contradiction
745,medical,Contradiction
748,medical,Contradiction
750,medical,Contradiction
777,medical,Contradiction
790,medical,Entailment
800,medical,Contradiction
801,medical,Entailment
802,medical,Contradiction
811,medical,Contradiction
820,medical,Contradiction
821,medical,Contradiction
830,medical,Contradiction
834,medical,Contradiction
835,medical,Entailment
842,medical,Contradiction
866,medical,Contradiction
872,medical,Contradiction
887,medical,Contradiction
889,medical,Contradiction
891,medical,Contradiction
896,medical,Contradiction
906,medical,Contradiction
909,medical,Contradiction
922,medical,Contradiction
936,medical,Contradiction
951,medical,Contradiction
966,medical,Contradiction
976,medical,Entailment
980,medical,Contradiction
992,medical,Contradiction
996,medical,Entailment
1003,medical,Entailment
1012,medical,Contradiction
1014,medical,Contradiction
1019,medical,Entailment
1044,medical,Entailment
1061,medical,Entailment
1073,medical,Contradiction
1102,medical,Contradiction
1108,medical,Entailment
1113,medical,Contradiction
1115,medical,Contradiction
1126,medical,Entailment
1132,medical,Contradiction
1136,medical,Contradiction
1157,medical,Contradiction
1160,medical,Entailment
1172,medical,Contradiction
1186,medical,Entailment
1187,medical,Contradiction
1189,medical,Contradiction
1204,medical,Contradiction
1205,medical,Contradiction
1210,medical,Contradiction
1226,medical,Contradiction
1229,medical,Contradiction
1233,medical,Contradiction
1283,medical,Contradiction
1289,medical,Contradiction
1296,medical,Entailment
1306,medical,Entailment
1316,medical,Contradiction
1331,medical,Contradiction
1342,medical,Entailment
1346,medical,Contradiction
1357,medical,Entailment
1363,medical,Contradiction
1365,medical,Contradiction
1371,medical,Entailment
1381,medical,Contradiction
1382,medical,Contradiction
1390,medical,Contradiction
1395,medical,Contradiction
1398,medical,Entailment
1420,medical,Contradiction
1433,medical,Contradiction
1446,medical,Contradiction
1448,medical,Contradiction
1461,medical,Contradiction
1462,medical,Contradiction
1481,medical,Entailment
1485,medical,Contradiction
1495,medical,Contradiction
1507,medical,Entailment
1516,medical,Entailment
1523,medical,Contradiction
1525,medical,Contradiction
1533,medical,Entailment
1550,medical,Contradiction
1556,medical,Contradiction
1557,medical,Contradiction
1562,medical,Contradiction
1565,medical,Contradiction
1566,medical,Contradiction
1572,medical,Contradiction
1573,medical,Contradiction
1574,medical,Contradiction
