index,statement_type,gold
1,pol,Contradiction
11,pol,Entailment
16,pol,Contradiction
26,pol,Entailment
29,pol,Contradiction
30,pol,Contradiction
47,pol,Contradiction
51,pol,Entailment
57,pol,Entailment
78,pol,Contradiction
83,pol,Contradiction
89,pol,Contradiction
94,pol,Contradiction
102,pol,Contradiction
118,pol,Contradiction
135,pol,Contradiction
139,pol,Contradiction
144,pol,Contradiction
145,pol,Contradiction
146,pol,Contradiction
155,pol,Contradiction
165,pol,Contradiction
182,pol,Contradiction
194,pol,Contradiction
204,pol,Contradiction
209,pol,Contradiction
214,pol,Contradiction
218,pol,Entailment
231,pol,Contradiction
232,pol,Contradiction
241,pol,Entailment
244,pol,Entailment
246,pol,Contradiction
250,pol,Entailment
267,pol,Contradiction
280,pol,Contradiction
282,pol,Entailment
301,pol,Entailment
302,pol,Entailment
304,pol,Contradiction
318,pol,Contradiction
328,pol,Contradiction
336,pol,Contradiction
349,pol,Entailment
366,pol,Entailment
367,pol,Contradiction
388,pol,Contradiction
392,pol,Entailment
393,pol,Contradiction
410,pol,Contradiction
412,pol,Contradiction
423,pol,Contradiction
428,pol,Entailment
447,pol,Entailment
453,pol,Contradiction
455,pol,Contradiction
457,pol,Contradiction
475,pol,Contradiction
491,pol,Contradiction
493,pol,Contradiction
497,pol,Contradiction
508,pol,Contradiction
513,pol,Contradiction
514,pol,Contradiction
515,pol,Contradiction
516,pol,Contradiction
552,pol,Contradiction
576,pol,Contradiction
582,pol,Contradiction
583,pol,Contradiction
587,pol,Contradiction
592,pol,Contradiction
594,pol,Entailment
597,pol,Contradiction
600,pol,Contradiction
601,pol,Contradiction
602,pol,Contradiction
608,pol,Entailment
616,pol,Entailment
631,pol,Contradiction
635,pol,Contradiction
660,pol,Contradiction
661,pol,Contradiction
662,pol,Entailment
709,pol,Entailment
723,pol,Contradiction
731,pol,Contradiction
745,pol,Contradiction
748,pol,Contradiction
754,pol,Contradiction
759,pol,Contradiction
797,pol,Contradiction
800,pol,Contradiction
801,pol,Entailment
811,pol,Contradiction
816,pol,Entailment
820,pol,Contradiction
821,pol,Contradiction
826,pol,Contradiction
829,pol,Contradiction
830,pol,Contradiction
834,pol,Contradiction
835,pol,Entailment
851,pol,Entailment
859,pol,Contradiction
866,pol,Contradiction
872,pol,Contradiction
879,pol,Entailment
891,pol,Contradiction
896,pol,Contradiction
906,pol,Contradiction
909,pol,Contradiction
922,pol,Contradiction
929,pol,Entailment
937,pol,Contradiction
945,pol,Contradiction
951,pol,Contradiction
966,pol,Contradiction
976,pol,Entailment
980,pol,Contradiction
992,pol,Contradiction
996,pol,Entailment
1003,pol,Entailment
1012,pol,Contradiction
1014,pol,Contradiction
1019,pol,Entailment
1038,pol,Entailment
1043,pol,Contradiction
1046,pol,Contradiction
1050,pol,Contradiction
1061,pol,Entailment
1073,pol,Contradiction
1093,pol,Contradiction
1096,pol,Entailment
1102,pol,Contradiction
1108,pol,Entailment
1111,pol,Contradiction
1114,pol,Contradiction
1115,pol,Contradiction
1126,pol,Entailment
1136,pol,Contradiction
1145,pol,Contradiction
1157,pol,Contradiction
1160,pol,Entailment
1162,pol,Contradiction
1171,pol,Contradiction
1172,pol,Contradiction
1187,pol,Contradiction
1189,pol,Contradiction
1205,pol,Contradiction
1210,pol,Contradiction
1225,pol,Entailment
1233,pol,Contradiction
1240,pol,Contradiction
1246,pol,Entailment
1289,pol,Contradiction
1296,pol,Entailment
1304,pol,Entailment
1305,pol,Contradiction
1306,pol,Entailment
1331,pol,Contradiction
1342,pol,Entailment
1346,pol,Contradiction
1356,pol,Contradiction
1357,pol,Entailment
1363,pol,Contradiction
1365,pol,Contradiction
1371,pol,Entailment
1382,pol,Contradiction
1390,pol,Contradiction
1395,pol,Contradiction
1404,pol,Contradiction
1413,pol,Contradiction
1420,pol,Contradiction
1426,pol,Contradiction
1433,pol,Contradiction
1437,pol,Entailment
1448,pol,Contradiction
1461,pol,Contradiction
1462,pol,Contradiction
1481,pol,Entailment
1485,pol,Contradiction
1495,pol,Contradiction
1507,pol,Entailment
1516,pol,Entailment
1525,pol,Contradiction
1543,pol,Contradiction
1550,pol,Contradiction
1552,pol,Contradiction
1556,pol,Contradiction
1557,pol,Contradiction
1562,pol,Contradiction
1564,pol,Entailment
1565,pol,Contradiction
1566,pol,Contradiction
1574,pol,Contradiction
