index,premise,hypothesis,pattern,type,section_id,pattern_label,lexical_jaccard,lexical_coverage,digits_premise,digits_hypothesis,pct_premise,pct_hypothesis,units_premise,units_hypothesis,numeric_total,neg_premise,neg_hypothesis,neg_total,words_premise,words_hypothesis,trial_primary,trial_secondary,KATE_correct,P1_ft_correct
0,"Exclusion Criteria:
  History of bilateral mastectomy, osteoporosis or renal impairment.

Exclusion Criteria:
  Severe claustrophobia",Women suffering from both claustrophobia and IBS or not eligible for either the primary trial or the secondary trial.,11,Comparison,Eligibility,Les 2 corrects,0.07692307692307693,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,19.0,1.0,1.0,True,True
1,"Inclusion Criteria:
  Women 18 years
  Histologically or cytologically confirmed diagnosis of metastatic breast cancer
  Measurable or nonmeasurable disease defined by Response Evaluation Criteria In Solid Tumors (RECIST)
Exclusion Criteria:
  Number of prior chemotherapy lines of treatment in the metastatic setting 2","There are no conditions on mental mental health, bodyweight, size of tumours, Karnofsky/ECOG score or Estimated life expectancy that need to be met in order to be eligible for the primary trial",00,Single,Eligibility,Les 2 en erreur,0.06666666666666667,0.13333333333333333,3.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,1.0,41.0,33.0,1.0,0.0,False,False
2,"Inclusion Criteria:
  Patients presenting for large core breast biopsy in the Radiology Department at the Beth Israel Deaconess Medical Center Boston.
Exclusion Criteria:
  Patients are excluded if :
  They are unable to give informed consent, or pass screening for impaired mental function or psychosis.
  They are unable to hear or understand English.

Inclusion Criteria:
  Sign informed consent and Pain level > 4 in the BPI scale,
  Stage I-III
Exclusion Criteria:
  <18 yrs
  Stage IV
  BPI Score <4
Zubrod score >2","the secondary trial requires patients to be over a certain age, but the primary trial does not specify an age range for participation.",11,Comparison,Eligibility,Les 2 corrects,0.05555555555555555,0.2,5.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,1.0,79.0,23.0,1.0,1.0,True,True
3,"Participation in another clinical trial within 30 days prior to screening or during the study.

Inclusion Criteria:
  adult patients, >=18 years of age;
  HER2-negative metastatic breast cancer
  candidates for taxane-based chemotherapy;
  ECOG performance status of 0 or 1.
Exclusion Criteria:
  previous chemotherapy for metastatic breast cancer;
  prior adjuvant/neo-adjuvant chemotherapy within 6 months prior to study;
  prior radiotherapy for treatment of metastatic disease;
  chronic daily treatment with aspirin (325 mg/day) or clopidogrel(>75mg/day).",Patients currently taking part in the secondary trial are not eligible to enroll in the primary trial at the same time,11,Comparison,Eligibility,Les 2 corrects,0.07352941176470588,0.29411764705882354,13.0,0.0,0.0,0.0,5.0,0.0,18.0,0.0,1.0,1.0,78.0,21.0,1.0,1.0,True,True
6,"Exclusion Criteria:
  The participant has undergone major surgery within 28 days prior to the study registration date

Inclusion Criteria:
  18 to 55 years old
  Metastatic breast carcinoma.
  Histological confirmation of invasive breast carcinoma
  Complete or partial response to pre-transplant standard-dose chemotherapy, or hormonal therapy. For bone disease, stable disease (SD) is allowed.
  Patient must have tumor assessed for estrogen-receptor (ER) and progesterone-receptor (PR).
  Persistent detectable or non-detectable CTCs by Veridex Technology after completion of standard therapy.
  Zubrod performance status 0 or 1.
  Patients must have adequate hematological parameters (White Blood Count/WBC >= 3,000/mm3; platelet count >= 100,000/mm3)
  Adequate renal function (serum creatinine <= 1.5mg/dl)
  Adequate liver function (total bilirubin, serum glutamate pyruvate transaminase (SGPT) <= 2 times normal).
  Adequate cardiac function (Left ventricular ejection fraction (LVEF)>= 50%).
  Adequate pulmonary function (Carbon Monoxide Diffusing Capacity (DLCO)>= 50% of predicted value).
  Females of childbearing (women who are post-menopausal < 1 year, not surgically sterilized, or not abstinent) potential must use adequate contraception.
  Patients must sign an informed consent.
Exclusion Criteria:
  Prior HDCT with Autologous hematopoietic stem cell transplantation (AHST) in adjuvant setting.
  History or presence of brain/leptomeningeal metastasis.
  History of other malignancies except cured non-melanoma skin cancer or cured cervical carcinoma in situ.
  Presence of other severe medical illnesses or conditions. Severe heart disease, (myocardial ischemia, myocardial infarction, etc.) Pulmonary disease (COPD, asthma,etc). Renal failure and hepatic failure.
  Clinically significant active infections (patient requiring IV antibiotics, uncontrolled infections, or hospitalized due to infections).
  HIV infection.
  Pregnant or lactating women.
  Medical, social or psychologic factors which would prevent the patient from receiving or cooperating with the full course of therapy or understanding the informed consent procedure.","a patient that has received an organ transplant within the last month, and is still bedridden would be excluded from the primary trial but may be eligible for the secondary trial",01,Comparison,Eligibility,P1✗ KATE✓,0.05116279069767442,0.4074074074074074,28.0,0.0,2.0,0.0,4.0,0.0,34.0,2.0,0.0,2.0,284.0,31.0,1.0,1.0,True,False
7,"History of allergic reactions attributed to compounds of similar chemical or biologic composition to mesna or other agents used in the study (ie. sulfur containing drugs including ""sulfa antibiotics"" and celecoxib).

  Documented allergy to all three of the following antibiotics: cephalosporin, trimethoprim/sulfamethoxazole, and levofloxacin",Any patients with Documented allergy to cephalosporin or trimethoprim/sulfamethoxazole will not be eligible for the secondary trial and documented allergy to levofloxacin or celecoxib will also result in exclusion from the primary trial.,01,Comparison,Eligibility,P1✗ KATE✓,0.23076923076923078,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,45.0,34.0,1.0,1.0,True,False
9,"Key Inclusion Criteria:
  - Women with locally advanced, recurrent, or metastatic breast cancer along with confirmation of estrogen-receptor positive (ER+). Measurable disease defined as at least one lesion  10 mm by CT or MRI that can be accurately measured in at least one dimension (CT scan slice thickness  5 mm) OR  Bone lesions: lytic or mixed (lytic + blastic) in the absence of measurable disease as defined above.
  Key Exclusion Criteria:
  - Patients who received more than one chemotherapy line. Patients with only non-measurable lesions other than lytic or mixed (lytic and blastic) bone metastasis.Previous treatment with exemestane, mTOR inhibitors, PI3K inhibitors or AKT inhibitors.

Newly diagnosed or recurrent breast cancer
  Considering a referral or already referred to a plastic surgeon by their surgical oncologist for possible reconstruction
  Considering or completing a mastectomy.
  Does not have known distant metastatic disease (stage IV disease) at the time of recruitment
  Female.
  English-speaking.
  At least 18 years of age.
  Able to understand and willing to sign an IRB-approved written informed consent document.","Women with Newly diagnosed stage IV breast cancer, confirmed as ER+  Considering a mastectomy are eligible for the primary trial and the secondary trial",11,Comparison,Eligibility,Les 2 corrects,0.1322314049586777,0.7272727272727273,6.0,0.0,0.0,0.0,1.0,0.0,10.0,1.0,0.0,1.0,171.0,24.0,1.0,1.0,True,True
10,"Inclusion Criteria:
  Adults with histologically or cytologically confirmed breast adenocarcinoma
  radiographic evidence of at least one bone mets
  Easter Cooperative Oncology Group status of 0, 1 or 2;
  adequate organ function
Exclusion Criteria:
  Current or prior IV bisphosphonate administration
  current or prior oral bisphosphonates for bone mets
  life expectancy of less than 6 months

  Patients must have histologically confirmed breast cancer that is ER positive and/or PR positive, and HER2/neu negative and have disease that is metastatic (stage IV)
  HER2/neu negative disease determined using commercially available/approved assay in local institutional or reference laboratory, according to American Society of Clinical Oncology (ASCO)/College of American Pathologists (CAP) guidelines (IHC 0-1+ or 2+ with HER2/17 ratio on FISH <= 1.8).
  ER/PR expression performed by standard immunohistochemical assay and classified as ER and/or PR-positive according to ASCO/CAP guidelines (1-100% expression)
  Histologic and/or cytologic confirmation of metastatic disease is encouraged whenever feasible, furthermore, if feasible, the biopsy should confirm that the metastatic tumor is ER and/or PR positive and HER2/neu negative. For patients in whom histologic biopsy confirmation and/or assessment of ER/PR/HER2 of metastatic disease is not feasible, it is required that the primary tumor be ER and/or PR-positive and HER2/neu negative.","Patients with histologically confirmed stage 4 breast adenocarcinoma that is either ER positive, PR positive, or HER2/neu negative are eligible for both the secondary trial and the primary trial.",10,Comparison,Eligibility,P1✓ KATE✗,0.16393442622950818,0.7407407407407407,21.0,2.0,1.0,0.0,1.0,0.0,26.0,1.0,0.0,1.0,218.0,30.0,2.0,1.0,False,True
22,"Eastern Cooperative Oncology Group (ECOG) performance status of 0 to 2

  ECOG 0-2 OR Karnofsky 60-100%",candidates Capable of only limited selfcare; confined to bed or chair more than 50% of waking hours are eligible for both the primary trial and the secondary trial,11,Comparison,Eligibility,Les 2 corrects,0.08108108108108109,0.12,9.0,2.0,1.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,18.0,28.0,1.0,1.0,True,True
24,"Inclusion Criteria:
  Able to give written informed consent to participate in the study
  Able to read and write English
  Patients with breast lesions that are non-palpable that require surgical removal
  Lesions and/or clip targetable with image guidance
Exclusion Criteria:
  Multicentric breast cancer
  Stage IV breast cancer
  Pregnant or lactating females

EXCLUSION CRITERIA:
  Patients who have had chemotherapy or radiotherapy within two weeks, 4 weeks for nitrosoureas, mitomycin C, pegylated-doxorubicin and one half-life for bevacizumab, hormone therapy within one week, trastuzumab within 2 weeks or lapatinib within one week of study Day 1.
  Congestive heart failure, Clinically significant cardiac arrhythmia, history or current evidence of a myocardial infarction during the last 6 months, and/or a current ECG tracing that is abnormal in the opinion of the treating Investigator, or unstable angina
  QTc prolongation >480 msec (Bazett's Formula) or congenitally long QT syndrome (LQTS)
  Patients with > Grade 1 neuropathy at screening","Patients who have received chemotherapy or radiotherapy in the last 2 weeks, suffer from unstable angina, or have Grade 2 or above neuropathy cannot take part in the secondary trial, but can still take part in the primary trial, unless they have non-healing surgical wounds.",01,Comparison,Eligibility,P1✗ KATE✓,0.13385826771653545,0.5,8.0,2.0,0.0,0.0,3.0,1.0,19.0,0.0,1.0,1.0,155.0,46.0,1.0,1.0,True,False
