index,premise,hypothesis,pattern,type,section_id,pattern_label,lexical_jaccard,lexical_coverage,digits_premise,digits_hypothesis,pct_premise,pct_hypothesis,units_premise,units_hypothesis,numeric_total,neg_premise,neg_hypothesis,neg_total,words_premise,words_hypothesis,trial_primary,trial_secondary
0,"Exclusion Criteria:
  History of bilateral mastectomy, osteoporosis or renal impairment.

Exclusion Criteria:
  Severe claustrophobia",Women suffering from both claustrophobia and IBS or not eligible for either the primary trial or the secondary trial.,11,Comparison,Eligibility,Les 2 corrects,0.07692307692307693,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,19.0,1.0,1.0
1,"Inclusion Criteria:
  Women 18 years
  Histologically or cytologically confirmed diagnosis of metastatic breast cancer
  Measurable or nonmeasurable disease defined by Response Evaluation Criteria In Solid Tumors (RECIST)
Exclusion Criteria:
  Number of prior chemotherapy lines of treatment in the metastatic setting 2","There are no conditions on mental mental health, bodyweight, size of tumours, Karnofsky/ECOG score or Estimated life expectancy that need to be met in order to be eligible for the primary trial",00,Single,Eligibility,Les 2 en erreur,0.06666666666666667,0.13333333333333333,3.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,2.0,41.0,33.0,1.0,0.0
2,"Inclusion Criteria:
  Patients presenting for large core breast biopsy in the Radiology Department at the Beth Israel Deaconess Medical Center Boston.
Exclusion Criteria:
  Patients are excluded if :
  They are unable to give informed consent, or pass screening for impaired mental function or psychosis.
  They are unable to hear or understand English.

Inclusion Criteria:
  Sign informed consent and Pain level > 4 in the BPI scale,
  Stage I-III
Exclusion Criteria:
  <18 yrs
  Stage IV
  BPI Score <4
Zubrod score >2","the secondary trial requires patients to be over a certain age, but the primary trial does not specify an age range for participation.",11,Comparison,Eligibility,Les 2 corrects,0.05555555555555555,0.2,5.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,1.0,79.0,23.0,1.0,1.0
3,"Participation in another clinical trial within 30 days prior to screening or during the study.

Inclusion Criteria:
  adult patients, >=18 years of age;
  HER2-negative metastatic breast cancer
  candidates for taxane-based chemotherapy;
  ECOG performance status of 0 or 1.
Exclusion Criteria:
  previous chemotherapy for metastatic breast cancer;
  prior adjuvant/neo-adjuvant chemotherapy within 6 months prior to study;
  prior radiotherapy for treatment of metastatic disease;
  chronic daily treatment with aspirin (325 mg/day) or clopidogrel(>75mg/day).",Patients currently taking part in the secondary trial are not eligible to enroll in the primary trial at the same time,11,Comparison,Eligibility,Les 2 corrects,0.07352941176470588,0.29411764705882354,13.0,0.0,0.0,0.0,5.0,0.0,18.0,0.0,1.0,1.0,78.0,21.0,1.0,1.0
4,"INTERVENTION 1: 
  Trastuzumab
  Participants with metastatic breast cancer received a loading dose of 4 milligrams per kilograms (mg/kg) of trastuzumab intravenously (IV) followed by 2 mg/kg of trastuzumab IV once a week along with docetaxel 100 milligrams per meter square (mg/m^2), every 3 weeks or paclitaxel 90 mg/m^2 once a week until progression of disease, occurrence of intolerable toxicity, the participant discontinues the study or dies.

INTERVENTION 2: 
  AC Followed by Docetaxel + Herceptin (AC→TH)
  Doxorubicin 60 mg/m² IV bolus injection in combination with cyclophosphamide 600 mg/m² IV bolus Injection on Day 1 of every 3 weeks for 4 cycles. Herceptin 4 mg/kg IV infusion on Day 1 of Cycle 5, followed by Herceptin 2 mg/kg by IV infusion weekly starting from Day 8; and docetaxel 100 mg/m² IV infusion on Day 2 of Cycle 5, then on Day 1 of every 3 weeks for all subsequent cycles ( total 4 cycles). After completion of the last cycle of chemotherapy, Herceptin 6 mg/kg IV infusion was administered every 3 weeks until 1 year from date of initial Herceptin dose.",HER2 + Patients in the primary trial receive the same dosage of Trastuzumab as patients in cohort 2 of the secondary trial throughout the entire duration of the trial,11,Comparison,Intervention,Les 2 corrects,0.050505050505050504,0.2777777777777778,36.0,2.0,0.0,0.0,15.0,0.0,53.0,0.0,0.0,0.0,190.0,28.0,1.0,1.0
5,"Adverse Events 1:
  Total: 0/10 (0.00%)

Adverse Events 1:
  Total: 0/1699 (0.00%)
Adverse Events 2:
  Total: 0/2004 (0.00%)","There are no cases of anorexia, hypothermia or hallucinations recorded in the Aes of the primary trial or the secondary trial.",11,Comparison,Adverse Events,Les 2 corrects,0.0,0.0,25.0,0.0,3.0,0.0,0.0,0.0,28.0,0.0,1.0,1.0,24.0,21.0,1.0,1.0
6,"Exclusion Criteria:
  The participant has undergone major surgery within 28 days prior to the study registration date

Inclusion Criteria:
  18 to 55 years old
  Metastatic breast carcinoma.
  Histological confirmation of invasive breast carcinoma
  Complete or partial response to pre-transplant standard-dose chemotherapy, or hormonal therapy. For bone disease, stable disease (SD) is allowed.
  Patient must have tumor assessed for estrogen-receptor (ER) and progesterone-receptor (PR).
  Persistent detectable or non-detectable CTCs by Veridex Technology after completion of standard therapy.
  Zubrod performance status 0 or 1.
  Patients must have adequate hematological parameters (White Blood Count/WBC >= 3,000/mm3; platelet count >= 100,000/mm3)
  Adequate renal function (serum creatinine <= 1.5mg/dl)
  Adequate liver function (total bilirubin, serum glutamate pyruvate transaminase (SGPT) <= 2 times normal).
  Adequate cardiac function (Left ventricular ejection fraction (LVEF)>= 50%).
  Adequate pulmonary function (Carbon Monoxide Diffusing Capacity (DLCO)>= 50% of predicted value).
  Females of childbearing (women who are post-menopausal < 1 year, not surgically sterilized, or not abstinent) potential must use adequate contraception.
  Patients must sign an informed consent.
Exclusion Criteria:
  Prior HDCT with Autologous hematopoietic stem cell transplantation (AHST) in adjuvant setting.
  History or presence of brain/leptomeningeal metastasis.
  History of other malignancies except cured non-melanoma skin cancer or cured cervical carcinoma in situ.
  Presence of other severe medical illnesses or conditions. Severe heart disease, (myocardial ischemia, myocardial infarction, etc.) Pulmonary disease (COPD, asthma,etc). Renal failure and hepatic failure.
  Clinically significant active infections (patient requiring IV antibiotics, uncontrolled infections, or hospitalized due to infections).
  HIV infection.
  Pregnant or lactating women.
  Medical, social or psychologic factors which would prevent the patient from receiving or cooperating with the full course of therapy or understanding the informed consent procedure.","a patient that has received an organ transplant within the last month, and is still bedridden would be excluded from the primary trial but may be eligible for the secondary trial",01,Comparison,Eligibility,P1✗ KATE✓,0.05116279069767442,0.4074074074074074,28.0,0.0,2.0,0.0,4.0,0.0,34.0,4.0,0.0,4.0,284.0,31.0,1.0,1.0
7,"History of allergic reactions attributed to compounds of similar chemical or biologic composition to mesna or other agents used in the study (ie. sulfur containing drugs including ""sulfa antibiotics"" and celecoxib).

  Documented allergy to all three of the following antibiotics: cephalosporin, trimethoprim/sulfamethoxazole, and levofloxacin",Any patients with Documented allergy to cephalosporin or trimethoprim/sulfamethoxazole will not be eligible for the secondary trial and documented allergy to levofloxacin or celecoxib will also result in exclusion from the primary trial.,01,Comparison,Eligibility,P1✗ KATE✓,0.23076923076923078,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,45.0,34.0,1.0,1.0
8,"INTERVENTION 1: 
  Bisphosphonate IV Q4W
  Open-label intravenous (IV) bisphosphonate once every 4 weeks (Q4W)
INTERVENTION 2: 
  Denosumab 180 mg Q12W
  Open-label denosumab 180 mg by subcutaneous injection once every 12 weeks (Q12W)",The Interventions in the primary trial are administered through different routes.,11,Single,Intervention,Les 2 corrects,0.0,0.0,17.0,0.0,0.0,0.0,4.0,0.0,21.0,0.0,0.0,0.0,34.0,11.0,1.0,0.0
9,"Key Inclusion Criteria:
  - Women with locally advanced, recurrent, or metastatic breast cancer along with confirmation of estrogen-receptor positive (ER+). Measurable disease defined as at least one lesion  10 mm by CT or MRI that can be accurately measured in at least one dimension (CT scan slice thickness  5 mm) OR  Bone lesions: lytic or mixed (lytic + blastic) in the absence of measurable disease as defined above.
  Key Exclusion Criteria:
  - Patients who received more than one chemotherapy line. Patients with only non-measurable lesions other than lytic or mixed (lytic and blastic) bone metastasis.Previous treatment with exemestane, mTOR inhibitors, PI3K inhibitors or AKT inhibitors.

Newly diagnosed or recurrent breast cancer
  Considering a referral or already referred to a plastic surgeon by their surgical oncologist for possible reconstruction
  Considering or completing a mastectomy.
  Does not have known distant metastatic disease (stage IV disease) at the time of recruitment
  Female.
  English-speaking.
  At least 18 years of age.
  Able to understand and willing to sign an IRB-approved written informed consent document.","Women with Newly diagnosed stage IV breast cancer, confirmed as ER+  Considering a mastectomy are eligible for the primary trial and the secondary trial",11,Comparison,Eligibility,Les 2 corrects,0.1322314049586777,0.7272727272727273,6.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,0.0,2.0,171.0,24.0,1.0,1.0
10,"Inclusion Criteria:
  Adults with histologically or cytologically confirmed breast adenocarcinoma
  radiographic evidence of at least one bone mets
  Easter Cooperative Oncology Group status of 0, 1 or 2;
  adequate organ function
Exclusion Criteria:
  Current or prior IV bisphosphonate administration
  current or prior oral bisphosphonates for bone mets
  life expectancy of less than 6 months

  Patients must have histologically confirmed breast cancer that is ER positive and/or PR positive, and HER2/neu negative and have disease that is metastatic (stage IV)
  HER2/neu negative disease determined using commercially available/approved assay in local institutional or reference laboratory, according to American Society of Clinical Oncology (ASCO)/College of American Pathologists (CAP) guidelines (IHC 0-1+ or 2+ with HER2/17 ratio on FISH <= 1.8).
  ER/PR expression performed by standard immunohistochemical assay and classified as ER and/or PR-positive according to ASCO/CAP guidelines (1-100% expression)
  Histologic and/or cytologic confirmation of metastatic disease is encouraged whenever feasible, furthermore, if feasible, the biopsy should confirm that the metastatic tumor is ER and/or PR positive and HER2/neu negative. For patients in whom histologic biopsy confirmation and/or assessment of ER/PR/HER2 of metastatic disease is not feasible, it is required that the primary tumor be ER and/or PR-positive and HER2/neu negative.","Patients with histologically confirmed stage 4 breast adenocarcinoma that is either ER positive, PR positive, or HER2/neu negative are eligible for both the secondary trial and the primary trial.",10,Comparison,Eligibility,P1✓ KATE✗,0.16393442622950818,0.7407407407407407,21.0,2.0,1.0,0.0,1.0,0.0,25.0,1.0,0.0,1.0,218.0,30.0,2.0,1.0
11,"Outcome Measurement: 
  To Evaluate the Efficacy of Flaxseed on Hot Flash Scores in Women as Measured by a Daily Prospective Hot Flash Diary.
  The intra-patient difference in hot flash activity between baseline (study week 1) and treatment termination (study week 7) is the primary endpoint. The hot flash activity will be measured by the weekly average hot flash score which is a composite entity of both frequency and severity of hot flashes.
  The hot flash severities are graded from 1 to 4, ranging from mild, to moderate, to severe to very severe. The daily hot flash score is computed by multiplying the mean grade of severity by the frequency during every 24 hour period. Therefore, a score of zero is the lowest possible score and can be interpreted as having no hot flashes. The average daily hot flash score during the baseline week was compared to the average daily value during week 7.
  The primary method of analysis will be the independent sample t-test to examine the change of weekly average hot flash score from baseline to treatment termination between flaxseed and placebo arms.
  Time frame: Baseline and 7 weeks

Outcome Measurement: 
  Overall Response Rate (ORR)
  Response defined per Response Evaluation Criteria In Solid Tumors (RECIST) criteria: Complete Response (CR)=disappearance of all target lesions; Partial Response (PR)=30% decrease in sum of longest diameter of target lesions; Progressive Disease=20% increase in sum of longest diameter of target lesions; Stable Disease=small changes that do not meet above criteria. ORR was defined as the proportion of participants who achieved a best response of either CR or PR. ORR=number of participants with CR or PR/number of participants qualified for tumor response analysis (per-protocol population).
  Time frame: baseline & every 2 cycles (approximately 8 weeks) of treatment to measured progressive disease (PD) & post-therapy until PD or other therapy initiated (up to 35 months)",the secondary trial and the primary trial results contain completely different outcome measures,11,Comparison,Results,Les 2 corrects,0.024691358024691357,0.36363636363636365,16.0,0.0,2.0,0.0,4.0,0.0,22.0,2.0,0.0,2.0,317.0,13.0,3.0,1.0
12,"INTERVENTION 1: 
  Stratum 1 (AC->T + Bevacizumab)
  HER2-negative participants administered
  doxorubicin and cyclophosphamide (AC) + bevacizumab for 4 cycles followed by
  docetaxel (T) + bevacizumab for 4 cycles followed by
  bevacizumab maintenance therapy for total of 52 weeks from date of first dose regardless of number of doses received or missed
INTERVENTION 2: 
  Stratum 2 (TAC + Bevacizumab)
  HER2-negative participants administered
  docetaxel, doxorubicin, cyclophosphamide (TAC) + bevacizumab for 6 cycles followed by
  bevacizumab maintenance therapy for total of 52 weeks from date of first dose regardless of number of doses received or missed",the primary trial participants do not receive any vaccines,11,Single,Intervention,Les 2 corrects,0.021739130434782608,0.1111111111111111,13.0,0.0,0.0,0.0,5.0,0.0,18.0,0.0,1.0,1.0,91.0,9.0,1.0,0.0
13,"INTERVENTION 1: 
  Part A: V935 LD
  Two IM injections of V935 low dose (LD), 1 given every other week over a 3-week period.
INTERVENTION 2: 
  Part A: V934 LD(3)+V935 LD
  Three electroporation (EP) injections of V934 (LD) were administered, 1 given every other week over a 5-week period. Following a 4 week observation period, 2 IM injections of V935 (LD) were administered, 1 given every other week over a 3-week period.",Cohort A and B of the primary trial are administered the same Three electroporation injections of LD V934,11,Single,Intervention,Les 2 corrects,0.21052631578947367,0.5,29.0,3.0,0.0,0.0,4.0,0.0,36.0,0.0,0.0,0.0,76.0,18.0,1.0,0.0
14,"Unit of Measure: cm  2.7         (1.1)

  Unit of Measure: Participants  Complete response: 0   0.0%",the secondary trial and the primary trial use different units of measure in their results.,11,Comparison,Results,Les 2 corrects,0.09090909090909091,0.15384615384615385,7.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,17.0,15.0,1.0,1.0
15,"Results 1: 
  Arm/Group Title: FFDM Mammography Exam - LIP Algorithm
  Arm/Group Description: Screening or diagnostic Full Field Digital Mammography (FFDM) exam
  Overall Number of Participants Analyzed: 130
  Overall Number of Units Analyzed
  Type of Units Analyzed: Breasts  Mean (Standard Error)Unit of Measure: probability: 0.884         (0.008)
Results 2: 
  Arm/Group Title: FFDM Mammography Exam - SIP Algorithm
  Arm/Group Description: The same 130 raw data images were externally reprocessed with the Siemens processing algorithm.
  Overall Number of Participants Analyzed: 130
  Overall Number of Units Analyzed
  Type of Units Analyzed: Breasts  Mean (Standard Error)Unit of Measure: probability: 0.880         (0.008)

Results 1: 
  Arm/Group Title: Reflexology Group
  Arm/Group Description: The experimental group included 47 women with breast cancer scheduled for adjunctive radiation treatment. The women received reflexology treatment initiated at the beginning of radiation therapy, once a week (45 min each), for 10 weeks.
  Overall Number of Participants Analyzed: 33
  Mean (Standard Deviation)
  Unit of Measure: units on a scale  begining of the study: 3.71         (1.76)
  5 weeks: 3.9         (1.57)
  10 weeks: 3.6         (1.45)
Results 2: 
  Arm/Group Title: Control Group
  Arm/Group Description: The control group (no intervention,treatment as usual)included 25 breast cancer patients, scheduled for adjunctive radiation treatment, who completed the same questionnaires at the same time points as the as the intervention group.
  Overall Number of Participants Analyzed: 20
  Mean (Standard Deviation)
  Unit of Measure: units on a scale  begining of the study: 3.68         (1.56)
  5 weeks: 5.32         (1.61)
  10 weeks: 4.52         (2.05)","There were no significant differences in the results from the groups in the primary trial, and the Reflexology Group and control group in the secondary trial produced identical results.",11,Comparison,Results,Les 2 corrects,0.058823529411764705,0.3684210526315789,81.0,0.0,0.0,0.0,5.0,0.0,86.0,1.0,1.0,2.0,264.0,29.0,1.0,1.0
16,"Outcome Measurement: 
  Ki67 Expression
  Ki67 expression change from baseline to 6 weeks
  Time frame: Baseline to 6 weeks
Results 1: 
  Arm/Group Title: TAK-228 Plus Tamoxifen
  Arm/Group Description: TAK-228 will be orally administered at 30 mg weekly for 16 weeks.
  Tamoxifen will be orally administered at 20 mg daily for 16 weeks.
  TAK-228: MTORC1/2 inhibitor
  Tamoxifen: Non-steroidal anti-estrogen
  Overall Number of Participants Analyzed: 23
  Median (Inter-Quartile Range)
  Unit of Measure: Percentage of cells with Ki67 expression  Ki67 expression at baseline: 15        (10 to 25)
  Ki67 expression at 6 weeks: 10        (2 to 38)",Over 6 weeks of TAK-228 Plus Tamoxifen treatment patients in the primary trial experienced a 5% reduction in the Percentage of cells with Ki67 expression,11,Single,Results,Les 2 corrects,0.16901408450704225,0.5217391304347826,46.0,7.0,0.0,1.0,7.0,1.0,62.0,1.0,0.0,1.0,101.0,26.0,1.0,0.0
17,"Outcome Measurement: 
  Comparison of Operative Time Savings
  To compare the overall operative time savings using intra-operative digital mammography compared with standard specimen mammography.
  Time frame: At the time of the procedure (approximately 1 week after randomization)
Results 1: 
  Arm/Group Title: Intra-operative Mammography
  Arm/Group Description: Intra-operative Specimen Mammography
  Intra-operative Mammography: The patient's breast specimen will be imagine in the operating room in an intra-operative imaging device - Biovision SN #30042
  Overall Number of Participants Analyzed: 36
  Median (Full Range)
  Unit of Measure: Minutes  Procedure Time: 48.5        (17 to 138)
  OR Time: 68        (29 to 180)
Results 2: 
  Arm/Group Title: Standard Mammography
  Arm/Group Description: Standard Specimen Mammography
  Standard Mammography: There is not an added device associated with this arm.
  Overall Number of Participants Analyzed: 36
  Median (Full Range)
  Unit of Measure: Minutes  Procedure Time: 54        (17 to 140)
  OR Time: 74        (35 to 177)

Outcome Measurement: 
  Success Rate
  Success rate was defined as the percentage of participants experiencing all of the following: 1) completion of PMRT and placement of the permanent implant and/or flap reconstruction; 2) no major complications (infection requiring hospitalization, major revisions, early/severe capsular contracture, or pain requiring implant removal); and 3) a physician-reported 'excellent' or 'good' cosmetic result (not 'fair' or 'poor') at 2 years following PMRT (requiring a stable reconstruction with good symmetry and contour relative to the contralateral breast).
  Time frame: 2 years
Results 1: 
  Arm/Group Title: TE-ADM With PMRT
  Arm/Group Description: Participants received immediate breast reconstruction using a sub-muscular tissue expander (TE) and acellular dermal matrix (ADM) sling placed during the same surgery. This was followed by post-mastectomy radiation therapy (PMRT) no sooner than a minimum of 6 weeks and optimally 6 months, if adjuvant chemotherapy was required. The prescribed chest-wall dose was 50 -50.4 gray (Gy) in 25-28 fractions given once daily over 5-7 weeks with a 0.5-centimeter (cm) bolus to the scar every other day. Permanent reconstruction was performed at least 5 months after completion of PMRT.
  Overall Number of Participants Analyzed: 26
  Measure Type: Number
  Unit of Measure: percentage of participants  65.4        (44.3 to 82.8)","Arm 2 of the primary trial had higher Operative Time than Arm 1, therefore Intra-operative Mammography performed better than the Standard Mammography in this regard. In the secondary trial there is no control group against which we can compare.",11,Comparison,Results,Les 2 corrects,0.0945273631840796,0.59375,74.0,2.0,0.0,0.0,8.0,0.0,84.0,4.0,1.0,5.0,369.0,40.0,1.0,1.0
18,"ANGINA PECTORIS 1/2002 (0.05%)
  CARDIAC ARREST 1/2002 (0.05%)
  CARDIAC FAILURE 1/2002 (0.05%)
  CARDIAC TAMPONADE 1/2002 (0.05%)",there are several different instances of cardiac related AE recorded for cohort 1 of the primary trial,11,Single,Adverse Events,Les 2 corrects,0.08333333333333333,0.125,32.0,1.0,4.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,24.0,17.0,1.0,0.0
19,"Adverse Events 1:
  Total: 3/37 (8.11%)
  Sinus tachycardia 0/37 (0.00%)
  Heart failure 0/37 (0.00%)
  Dehydration 1/37 (2.70%)
  Death Not Associated with CTCAE: Death NOS 1/37 (2.70%)
  Lymphopenia 1/37 (2.70%)
  Neutropenia 1/37 (2.70%)
  Thrombocytopenia 0/37 (0.00%)
  Hyponatremia 1/37 (2.70%)
  Weight loss 0/37 (0.00%)
Adverse Events 2:
  Total: 0/38 (0.00%)
  Sinus tachycardia 0/38 (0.00%)
  Heart failure 0/38 (0.00%)
  Dehydration 0/38 (0.00%)
  Death Not Associated with CTCAE: Death NOS 0/38 (0.00%)
  Lymphopenia 0/38 (0.00%)
  Neutropenia 0/38 (0.00%)
  Thrombocytopenia 0/38 (0.00%)
  Hyponatremia 0/38 (0.00%)
  Weight loss 0/38 (0.00%)

Adverse Events 1:
  Total: 1/52 (1.92%)
  Thromboembolic Event  1/52 (1.92%)",Patients in the primary trial and the secondary trial  suffered Thromboembolic events.,11,Comparison,Adverse Events,Les 2 corrects,0.047619047619047616,0.2,135.0,0.0,22.0,0.0,0.0,0.0,157.0,2.0,0.0,2.0,138.0,12.0,1.0,1.0
20,"INTERVENTION 1: 
  Arm I (Zoledroic Acid)
  Beginning 60-90 days after surgery, patients receive zoledronate IV over 15 minutes once in months 3, 9, and 15.
  Laboratory Biomarker Analysis: Correlative studies
  Zoledronic Acid: Given IV

INTERVENTION 1: 
  Arm II
  Patients receive granisetron hydrochloride IV, dexamethasone IV, and oral placebo once on day 1 and oral prochlorperazine 3 times daily and another oral placebo once daily on days 2 and 3.
  placebo : Given orally
  prochlorperazine : Given orally or IV
  granisetron hydrochloride : Given orally or IV
  dexamethasone : Given orally or IV
INTERVENTION 2: 
  Arm III
  Patients receive palonosetron hydrochloride IV and dexamethasone IV once on day 1, oral aprepitant once daily on days 1-3, and oral dexamethasone once daily and oral placebo twice daily on days 2 and 3.
  placebo : Given orally
  aprepitant : Given orally or IV
  palonosetron hydrochloride : Given orally or IV
  dexamethasone : Given orally or IV","intervention 1 in the primary trial, and all intervention drugs in the secondary trial must be administered intravenously.",11,Comparison,Intervention,Les 2 corrects,0.06557377049180328,0.2857142857142857,22.0,1.0,0.0,0.0,1.0,0.0,24.0,0.0,0.0,0.0,147.0,18.0,1.0,1.0
21,"Hypertension 1/8 (12.50%)
  Hepatotoxicity 3/8 (37.50%)
  Pancreatectomy * 1/8 (12.50%)",in the primary trial there were 10 times the number of Hepatotoxicity cases as there were cases of hypertension and Pancreatectomy,00,Single,Adverse Events,Les 2 en erreur,0.13636363636363635,0.1875,18.0,2.0,3.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,15.0,21.0,1.0,0.0
22,"Eastern Cooperative Oncology Group (ECOG) performance status of 0 to 2

  ECOG 0-2 OR Karnofsky 60-100%",candidates Capable of only limited selfcare; confined to bed or chair more than 50% of waking hours are eligible for both the primary trial and the secondary trial,11,Comparison,Eligibility,Les 2 corrects,0.08108108108108109,0.12,9.0,2.0,1.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,18.0,28.0,1.0,1.0
23,"Adverse Events 1:
  Total: 0/147 (0.00%)","Cohort 1 of the primary trial did not report any Aes, however almost all of cohort 2 candidates suffered at least one ae",11,Single,Adverse Events,Les 2 corrects,0.037037037037037035,0.047619047619047616,8.0,2.0,1.0,0.0,0.0,0.0,11.0,0.0,1.0,1.0,8.0,23.0,1.0,0.0
24,"Inclusion Criteria:
  Able to give written informed consent to participate in the study
  Able to read and write English
  Patients with breast lesions that are non-palpable that require surgical removal
  Lesions and/or clip targetable with image guidance
Exclusion Criteria:
  Multicentric breast cancer
  Stage IV breast cancer
  Pregnant or lactating females

EXCLUSION CRITERIA:
  Patients who have had chemotherapy or radiotherapy within two weeks, 4 weeks for nitrosoureas, mitomycin C, pegylated-doxorubicin and one half-life for bevacizumab, hormone therapy within one week, trastuzumab within 2 weeks or lapatinib within one week of study Day 1.
  Congestive heart failure, Clinically significant cardiac arrhythmia, history or current evidence of a myocardial infarction during the last 6 months, and/or a current ECG tracing that is abnormal in the opinion of the treating Investigator, or unstable angina
  QTc prolongation >480 msec (Bazett's Formula) or congenitally long QT syndrome (LQTS)
  Patients with > Grade 1 neuropathy at screening","Patients who have received chemotherapy or radiotherapy in the last 2 weeks, suffer from unstable angina, or have Grade 2 or above neuropathy cannot take part in the secondary trial, but can still take part in the primary trial, unless they have non-healing surgical wounds.",01,Comparison,Eligibility,P1✗ KATE✓,0.13385826771653545,0.5,8.0,2.0,0.0,0.0,3.0,1.0,14.0,1.0,2.0,3.0,155.0,46.0,1.0,1.0
25,"Inclusion Criteria:
  Subjects who were confirmed to have a response after receiving at least two courses of weekly paclitaxel therapy and considered to need to continue the therapy by the investigator/subinvestigator among the patients with advanced or recurrent breast cancer who had met the selection criteria and participated in the preceding phase II clinical study

  The patient is ambulatory with a functional ECOG < 2 status (see Appendix 2).","the secondary trial  candidates must meet some Performance Status condition to participate, whereas this is not required to be accepted into the primary trial",10,Comparison,Eligibility,P1✓ KATE✗,0.05555555555555555,0.19047619047619047,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,69.0,24.0,1.0,1.0
