index,statement_type,gold
1,pol,Contradiction
11,pol,Entailment
26,pol,Entailment
34,pol,Entailment
35,pol,Entailment
51,pol,Entailment
53,pol,Entailment
54,pol,Entailment
58,pol,Entailment
93,pol,Entailment
98,pol,Entailment
106,pol,Entailment
116,pol,Entailment
121,pol,Entailment
130,pol,Entailment
135,pol,Contradiction
150,pol,Entailment
153,pol,Entailment
156,pol,Entailment
158,pol,Entailment
159,pol,Entailment
162,pol,Entailment
164,pol,Entailment
168,pol,Entailment
170,pol,Entailment
175,pol,Entailment
205,pol,Entailment
215,pol,Entailment
218,pol,Entailment
236,pol,Entailment
240,pol,Entailment
241,pol,Entailment
244,pol,Entailment
250,pol,Entailment
251,pol,Entailment
252,pol,Entailment
255,pol,Entailment
282,pol,Entailment
294,pol,Entailment
301,pol,Entailment
302,pol,Entailment
307,pol,Entailment
308,pol,Entailment
310,pol,Entailment
333,pol,Entailment
341,pol,Entailment
351,pol,Entailment
361,pol,Entailment
376,pol,Entailment
388,pol,Contradiction
392,pol,Entailment
396,pol,Entailment
404,pol,Entailment
416,pol,Contradiction
420,pol,Entailment
426,pol,Entailment
430,pol,Entailment
431,pol,Entailment
439,pol,Entailment
440,pol,Entailment
451,pol,Entailment
452,pol,Entailment
454,pol,Entailment
458,pol,Entailment
463,pol,Entailment
464,pol,Entailment
465,pol,Entailment
467,pol,Entailment
474,pol,Entailment
481,pol,Entailment
486,pol,Entailment
494,pol,Entailment
496,pol,Entailment
505,pol,Entailment
514,pol,Contradiction
517,pol,Entailment
518,pol,Entailment
521,pol,Contradiction
523,pol,Entailment
525,pol,Entailment
535,pol,Entailment
543,pol,Entailment
549,pol,Entailment
559,pol,Entailment
561,pol,Entailment
571,pol,Entailment
575,pol,Entailment
579,pol,Entailment
581,pol,Entailment
583,pol,Contradiction
593,pol,Entailment
594,pol,Entailment
598,pol,Entailment
608,pol,Entailment
616,pol,Entailment
619,pol,Entailment
620,pol,Entailment
623,pol,Entailment
633,pol,Entailment
642,pol,Contradiction
656,pol,Entailment
657,pol,Entailment
662,pol,Entailment
664,pol,Entailment
669,pol,Entailment
670,pol,Entailment
691,pol,Entailment
706,pol,Entailment
708,pol,Entailment
741,pol,Entailment
752,pol,Entailment
757,pol,Entailment
772,pol,Entailment
777,pol,Contradiction
780,pol,Entailment
782,pol,Contradiction
790,pol,Entailment
801,pol,Entailment
809,pol,Entailment
812,pol,Entailment
813,pol,Entailment
815,pol,Entailment
826,pol,Contradiction
835,pol,Entailment
836,pol,Entailment
839,pol,Entailment
840,pol,Entailment
843,pol,Entailment
865,pol,Entailment
869,pol,Entailment
871,pol,Entailment
879,pol,Entailment
884,pol,Entailment
891,pol,Contradiction
899,pol,Entailment
903,pol,Entailment
911,pol,Entailment
916,pol,Entailment
919,pol,Entailment
925,pol,Entailment
926,pol,Entailment
929,pol,Entailment
930,pol,Entailment
949,pol,Entailment
955,pol,Entailment
958,pol,Entailment
970,pol,Entailment
973,pol,Entailment
976,pol,Entailment
982,pol,Entailment
983,pol,Entailment
991,pol,Entailment
996,pol,Entailment
998,pol,Entailment
999,pol,Entailment
1003,pol,Entailment
1006,pol,Entailment
1019,pol,Entailment
1035,pol,Entailment
1038,pol,Entailment
1040,pol,Entailment
1044,pol,Entailment
1055,pol,Entailment
1083,pol,Entailment
1090,pol,Entailment
1096,pol,Entailment
1108,pol,Entailment
1109,pol,Entailment
1122,pol,Entailment
1126,pol,Entailment
1129,pol,Entailment
1138,pol,Entailment
1157,pol,Contradiction
1160,pol,Entailment
1162,pol,Contradiction
1174,pol,Entailment
1186,pol,Entailment
1187,pol,Contradiction
1193,pol,Entailment
1201,pol,Entailment
1217,pol,Entailment
1225,pol,Entailment
1232,pol,Entailment
1241,pol,Entailment
1243,pol,Entailment
1247,pol,Entailment
1257,pol,Entailment
1263,pol,Entailment
1269,pol,Entailment
1272,pol,Entailment
1274,pol,Entailment
1293,pol,Entailment
1296,pol,Entailment
1298,pol,Entailment
1301,pol,Entailment
1302,pol,Entailment
1304,pol,Entailment
1306,pol,Entailment
1328,pol,Entailment
1341,pol,Entailment
1344,pol,Entailment
1348,pol,Entailment
1352,pol,Entailment
1357,pol,Entailment
1363,pol,Contradiction
1371,pol,Entailment
1372,pol,Entailment
1376,pol,Entailment
1391,pol,Entailment
1398,pol,Entailment
1399,pol,Entailment
1407,pol,Entailment
1408,pol,Entailment
1423,pol,Entailment
1424,pol,Entailment
1436,pol,Entailment
1437,pol,Entailment
1448,pol,Contradiction
1449,pol,Entailment
1455,pol,Entailment
1458,pol,Entailment
1462,pol,Contradiction
1463,pol,Entailment
1465,pol,Entailment
1481,pol,Entailment
1487,pol,Entailment
1504,pol,Entailment
1507,pol,Entailment
1512,pol,Entailment
1516,pol,Entailment
1522,pol,Entailment
1528,pol,Entailment
1536,pol,Entailment
1537,pol,Entailment
1538,pol,Entailment
1541,pol,Entailment
1561,pol,Entailment
