index,type,section_id,P1_bl_correct,P1_ft_correct,P2_bl_correct,P2_ft_correct,prompt_len_p1,prompt_len_p2
0,Comparison,Eligibility,True,True,True,True,250,310
1,Single,Eligibility,True,False,True,False,512,573
2,Comparison,Eligibility,False,True,False,True,655,715
3,Comparison,Eligibility,True,True,True,True,678,739
4,Comparison,Intervention,True,True,True,True,1247,1308
5,Comparison,Adverse Events,True,True,True,True,250,310
6,Comparison,Eligibility,True,False,True,False,2334,2395
7,Comparison,Eligibility,True,False,False,False,580,640
8,Single,Intervention,True,True,True,True,315,375
9,Comparison,Eligibility,True,True,True,True,1305,1366
10,Comparison,Eligibility,False,True,True,True,1645,1705
11,Comparison,Results,False,True,False,True,2063,2124
12,Single,Intervention,False,True,True,True,721,782
13,Single,Intervention,True,True,True,True,528,589
14,Comparison,Results,False,True,False,True,190,250
15,Comparison,Results,True,True,True,True,1961,2021
16,Single,Results,True,True,False,True,800,861
17,Comparison,Results,False,True,True,True,2738,2798
18,Single,Adverse Events,True,True,True,True,232,293
19,Comparison,Adverse Events,True,True,True,True,819,879
20,Comparison,Intervention,True,True,True,True,1106,1166
21,Single,Adverse Events,True,False,True,False,217,278
22,Comparison,Eligibility,True,True,True,True,266,327
23,Single,Adverse Events,True,True,True,True,160,221
24,Comparison,Eligibility,True,False,True,True,1329,1389
25,Comparison,Eligibility,True,True,True,True,609,670
26,Single,Adverse Events,True,True,True,True,473,534
27,Comparison,Intervention,False,True,False,True,495,555
28,Single,Eligibility,True,True,True,True,200,261
29,Single,Results,True,True,True,True,168,229
30,Comparison,Eligibility,True,False,False,False,251,311
31,Comparison,Adverse Events,True,True,True,True,1076,1137
32,Single,Intervention,True,True,True,True,1095,1155
33,Comparison,Intervention,True,True,True,True,533,593
34,Comparison,Eligibility,False,True,False,True,593,653
35,Single,Eligibility,False,True,False,True,122,183
36,Comparison,Eligibility,True,True,True,True,273,333
37,Single,Intervention,True,True,True,True,664,724
38,Comparison,Eligibility,True,True,True,True,2362,2422
39,Comparison,Adverse Events,True,True,False,True,866,926
40,Single,Intervention,True,True,True,True,1149,1210
41,Comparison,Eligibility,True,True,True,True,1309,1370
42,Single,Results,True,True,False,True,1957,2018
43,Comparison,Results,True,False,False,False,2718,2778
44,Comparison,Intervention,True,False,True,False,1232,1293
45,Single,Adverse Events,True,True,True,True,918,979
46,Single,Adverse Events,True,True,True,True,312,373
47,Single,Results,True,True,True,True,1730,1790
48,Comparison,Adverse Events,True,False,True,False,1033,1094
49,Single,Intervention,True,True,True,False,268,329
50,Single,Intervention,True,True,True,True,1378,1438
51,Comparison,Adverse Events,True,True,True,True,891,952
52,Comparison,Results,False,False,False,True,624,684
53,Single,Intervention,True,True,True,True,711,772
54,Comparison,Intervention,True,False,False,False,1259,1319
55,Single,Eligibility,True,True,True,True,571,631
56,Single,Intervention,False,False,False,False,418,478
57,Single,Intervention,True,True,True,True,1169,1230
58,Comparison,Adverse Events,True,True,True,True,356,416
59,Single,Adverse Events,True,True,False,True,87,148
60,Comparison,Eligibility,False,False,False,False,9948,10008
61,Comparison,Intervention,False,True,False,True,883,943
62,Comparison,Adverse Events,True,True,True,True,152,212
63,Comparison,Adverse Events,True,True,True,True,223,284
64,Comparison,Eligibility,True,True,True,True,692,752
65,Comparison,Adverse Events,True,True,True,True,590,650
66,Single,Results,True,True,True,True,2657,2717
67,Comparison,Eligibility,True,True,True,True,640,700
68,Comparison,Eligibility,False,False,False,False,553,613
69,Single,Results,True,False,True,True,832,893
70,Comparison,Eligibility,True,True,True,True,265,325
71,Single,Intervention,True,True,True,True,700,761
72,Single,Intervention,False,False,True,True,565,625
73,Comparison,Intervention,False,True,True,True,1258,1318
74,Single,Intervention,True,True,True,True,792,853
75,Comparison,Adverse Events,True,True,True,True,343,403
76,Comparison,Eligibility,True,False,False,False,757,817
77,Comparison,Results,True,False,True,True,3547,3607
78,Single,Results,True,True,True,True,1934,1994
79,Comparison,Results,True,False,True,False,1287,1347
80,Comparison,Adverse Events,True,True,True,True,218,278
81,Single,Intervention,True,True,True,True,372,432
82,Comparison,Eligibility,False,True,False,False,754,814
83,Single,Intervention,True,True,True,True,1136,1197
84,Comparison,Eligibility,False,True,False,False,1338,1398
85,Single,Adverse Events,True,True,True,False,359,420
86,Single,Eligibility,True,False,True,False,826,887
87,Comparison,Eligibility,False,False,False,True,162,223
88,Single,Results,True,True,True,True,1845,1905
89,Single,Results,False,True,True,True,2637,2697
90,Comparison,Adverse Events,False,True,False,True,845,905
91,Single,Adverse Events,True,True,True,True,131,191
92,Single,Results,True,True,True,True,1085,1145
93,Single,Results,True,False,True,True,1155,1216
94,Comparison,Intervention,False,False,False,False,824,884
95,Single,Results,True,True,True,True,817,877
96,Single,Intervention,True,False,True,True,682,743
97,Comparison,Eligibility,True,False,True,False,3095,3156
98,Comparison,Adverse Events,True,False,True,True,589,649
99,Single,Adverse Events,True,True,True,False,862,923
100,Comparison,Intervention,True,True,True,False,508,568
101,Single,Adverse Events,False,True,False,True,851,912
102,Comparison,Adverse Events,False,True,False,True,843,903
103,Comparison,Intervention,True,True,True,True,828,888
104,Comparison,Adverse Events,True,True,True,True,216,280
105,Comparison,Results,True,True,True,True,2559,2620
106,Comparison,Adverse Events,False,True,False,True,573,633
107,Comparison,Results,False,True,False,True,348,408
108,Single,Results,True,True,True,True,1162,1223
109,Comparison,Results,True,True,True,True,658,718
110,Comparison,Eligibility,True,True,True,False,948,1008
111,Comparison,Intervention,False,True,False,True,915,976
112,Single,Eligibility,False,False,False,False,6816,6876
113,Single,Eligibility,True,True,True,True,115,176
114,Single,Results,True,True,True,True,1175,1235
115,Comparison,Intervention,False,False,False,False,775,835
116,Comparison,Results,True,True,True,True,1125,1186
117,Single,Intervention,False,True,False,True,641,701
118,Single,Intervention,True,False,True,False,516,577
119,Comparison,Adverse Events,True,True,True,True,394,454
120,Single,Intervention,True,True,True,True,329,390
121,Comparison,Adverse Events,True,True,True,True,1053,1113
122,Single,Intervention,True,True,True,True,617,677
123,Comparison,Adverse Events,False,False,False,False,571,631
124,Single,Intervention,False,False,True,False,1087,1148
125,Single,Intervention,True,True,False,True,622,682
126,Single,Eligibility,True,True,True,True,853,913
127,Comparison,Eligibility,True,False,True,False,3509,3570
128,Single,Results,False,False,False,False,3193,3253
129,Single,Results,False,True,False,True,1834,1895
130,Comparison,Eligibility,True,True,True,True,1089,1149
131,Single,Results,True,True,True,True,1104,1165
132,Comparison,Eligibility,False,False,True,False,279,339
133,Comparison,Eligibility,False,False,False,False,1306,1367
134,Comparison,Eligibility,False,False,False,False,6121,6181
135,Comparison,Results,True,True,True,True,676,736
136,Comparison,Results,True,True,False,False,3077,3137
137,Comparison,Intervention,True,True,True,True,1377,1437
138,Single,Results,True,True,True,True,1341,1401
139,Comparison,Adverse Events,False,True,False,True,222,282
140,Comparison,Intervention,False,False,False,False,1124,1184
141,Comparison,Eligibility,False,True,False,False,2311,2372
142,Single,Intervention,False,True,False,True,678,738
143,Single,Results,True,True,True,True,1844,1904
144,Comparison,Eligibility,False,True,False,True,207,268
145,Single,Results,False,True,False,True,1146,1207
146,Comparison,Intervention,False,True,False,True,729,789
147,Single,Intervention,True,True,True,True,923,984
148,Single,Eligibility,True,True,True,True,199,260
149,Comparison,Results,True,True,True,True,3066,3126
150,Comparison,Eligibility,False,False,False,False,1759,1819
151,Comparison,Intervention,True,True,True,True,1701,1761
152,Comparison,Adverse Events,True,True,True,True,1293,1354
153,Comparison,Adverse Events,True,True,True,True,556,616
154,Comparison,Results,True,False,True,False,2329,2389
155,Single,Results,True,False,True,False,2443,2504
156,Single,Results,False,True,True,True,535,595
157,Single,Results,False,False,False,False,1198,1258
158,Comparison,Eligibility,False,True,False,True,1478,1538
159,Comparison,Results,False,True,False,False,1097,1157
160,Single,Adverse Events,True,False,False,False,187,247
161,Comparison,Adverse Events,True,True,False,True,197,258
162,Comparison,Adverse Events,True,True,True,True,304,365
163,Comparison,Adverse Events,True,False,True,False,918,978
164,Single,Intervention,True,True,True,True,656,716
165,Single,Eligibility,True,True,True,True,873,933
166,Single,Results,True,True,True,True,932,993
167,Comparison,Eligibility,False,False,False,True,1087,1147
168,Comparison,Intervention,False,True,False,True,801,861
169,Single,Adverse Events,False,True,False,True,208,268
170,Single,Intervention,True,False,True,False,1171,1231
171,Single,Eligibility,False,True,False,True,168,229
172,Single,Results,True,False,False,False,2009,2070
173,Comparison,Intervention,True,False,False,False,881,941
174,Comparison,Eligibility,False,False,False,False,2179,2239
175,Single,Results,True,True,True,True,1832,1895
176,Single,Adverse Events,True,True,True,True,356,417
177,Comparison,Adverse Events,True,False,True,True,554,614
178,Comparison,Adverse Events,True,True,True,True,387,447
179,Comparison,Eligibility,False,False,False,False,9875,9935
180,Single,Eligibility,True,True,True,True,109,169
181,Single,Adverse Events,True,True,True,True,125,185
182,Comparison,Adverse Events,False,True,False,True,917,977
183,Single,Eligibility,True,True,False,True,202,263
184,Comparison,Eligibility,True,True,True,True,647,707
185,Comparison,Eligibility,True,True,False,True,227,287
186,Comparison,Intervention,False,True,False,True,1050,1111
187,Single,Intervention,True,True,True,True,163,224
188,Comparison,Eligibility,False,False,False,False,1313,1374
189,Single,Adverse Events,False,False,False,False,188,249
190,Comparison,Eligibility,True,True,True,True,1348,1408
191,Single,Intervention,False,True,False,True,681,742
192,Comparison,Intervention,True,True,True,True,3472,3532
193,Comparison,Adverse Events,True,False,False,False,556,616
194,Comparison,Intervention,False,False,False,False,577,637
