index,premise,hypothesis,true_label,predicted_label,is_correct,premise_len,hypothesis_len,prompt_len,length_bin,type,section_id
0,"Exclusion Criteria:
  History of bilateral mastectomy, osteoporosis or renal impairment.

Exclusion Criteria:
  Severe claustrophobia",Women suffering from both claustrophobia and IBS or not eligible for either the primary trial or the secondary trial.,Contradiction,Contradiction,True,133,117,250,Court,Comparison,Eligibility
1,"Inclusion Criteria:
  Women 18 years
  Histologically or cytologically confirmed diagnosis of metastatic breast cancer
  Measurable or nonmeasurable disease defined by Response Evaluation Criteria In Solid Tumors (RECIST)
Exclusion Criteria:
  Number of prior chemotherapy lines of treatment in the metastatic setting 2","There are no conditions on mental mental health, bodyweight, size of tumours, Karnofsky/ECOG score or Estimated life expectancy that need to be met in order to be eligible for the primary trial",Entailment,Entailment,True,319,193,512,Court,Single,Eligibility
2,"Inclusion Criteria:
  Patients presenting for large core breast biopsy in the Radiology Department at the Beth Israel Deaconess Medical Center Boston.
Exclusion Criteria:
  Patients are excluded if :
  They are unable to give informed consent, or pass screening for impaired mental function or psychosis.
  They are unable to hear or understand English.

Inclusion Criteria:
  Sign informed consent and Pain level > 4 in the BPI scale,
  Stage I-III
Exclusion Criteria:
  <18 yrs
  Stage IV
  BPI Score <4
Zubrod score >2","the secondary trial requires patients to be over a certain age, but the primary trial does not specify an age range for participation.",Entailment,Contradiction,False,521,134,655,Moyen,Comparison,Eligibility
3,"Participation in another clinical trial within 30 days prior to screening or during the study.

Inclusion Criteria:
  adult patients, >=18 years of age;
  HER2-negative metastatic breast cancer
  candidates for taxane-based chemotherapy;
  ECOG performance status of 0 or 1.
Exclusion Criteria:
  previous chemotherapy for metastatic breast cancer;
  prior adjuvant/neo-adjuvant chemotherapy within 6 months prior to study;
  prior radiotherapy for treatment of metastatic disease;
  chronic daily treatment with aspirin (325 mg/day) or clopidogrel(>75mg/day).",Patients currently taking part in the secondary trial are not eligible to enroll in the primary trial at the same time,Entailment,Entailment,True,560,118,678,Moyen,Comparison,Eligibility
4,"INTERVENTION 1: 
  Trastuzumab
  Participants with metastatic breast cancer received a loading dose of 4 milligrams per kilograms (mg/kg) of trastuzumab intravenously (IV) followed by 2 mg/kg of trastuzumab IV once a week along with docetaxel 100 milligrams per meter square (mg/m^2), every 3 weeks or paclitaxel 90 mg/m^2 once a week until progression of disease, occurrence of intolerable toxicity, the participant discontinues the study or dies.

INTERVENTION 2: 
  AC Followed by Docetaxel + Herceptin (AC→TH)
  Doxorubicin 60 mg/m² IV bolus injection in combination with cyclophosphamide 600 mg/m² IV bolus Injection on Day 1 of every 3 weeks for 4 cycles. Herceptin 4 mg/kg IV infusion on Day 1 of Cycle 5, followed by Herceptin 2 mg/kg by IV infusion weekly starting from Day 8; and docetaxel 100 mg/m² IV infusion on Day 2 of Cycle 5, then on Day 1 of every 3 weeks for all subsequent cycles ( total 4 cycles). After completion of the last cycle of chemotherapy, Herceptin 6 mg/kg IV infusion was administered every 3 weeks until 1 year from date of initial Herceptin dose.",HER2 + Patients in the primary trial receive the same dosage of Trastuzumab as patients in cohort 2 of the secondary trial throughout the entire duration of the trial,Contradiction,Contradiction,True,1081,166,1247,Long,Comparison,Intervention
5,"Adverse Events 1:
  Total: 0/10 (0.00%)

Adverse Events 1:
  Total: 0/1699 (0.00%)
Adverse Events 2:
  Total: 0/2004 (0.00%)","There are no cases of anorexia, hypothermia or hallucinations recorded in the Aes of the primary trial or the secondary trial.",Entailment,Contradiction,False,124,126,250,Court,Comparison,Adverse Events
6,"Exclusion Criteria:
  The participant has undergone major surgery within 28 days prior to the study registration date

Inclusion Criteria:
  18 to 55 years old
  Metastatic breast carcinoma.
  Histological confirmation of invasive breast carcinoma
  Complete or partial response to pre-transplant standard-dose chemotherapy, or hormonal therapy. For bone disease, stable disease (SD) is allowed.
  Patient must have tumor assessed for estrogen-receptor (ER) and progesterone-receptor (PR).
  Persistent detectable or non-detectable CTCs by Veridex Technology after completion of standard therapy.
  Zubrod performance status 0 or 1.
  Patients must have adequate hematological parameters (White Blood Count/WBC >= 3,000/mm3; platelet count >= 100,000/mm3)
  Adequate renal function (serum creatinine <= 1.5mg/dl)
  Adequate liver function (total bilirubin, serum glutamate pyruvate transaminase (SGPT) <= 2 times normal).
  Adequate cardiac function (Left ventricular ejection fraction (LVEF)>= 50%).
  Adequate pulmonary function (Carbon Monoxide Diffusing Capacity (DLCO)>= 50% of predicted value).
  Females of childbearing (women who are post-menopausal < 1 year, not surgically sterilized, or not abstinent) potential must use adequate contraception.
  Patients must sign an informed consent.
Exclusion Criteria:
  Prior HDCT with Autologous hematopoietic stem cell transplantation (AHST) in adjuvant setting.
  History or presence of brain/leptomeningeal metastasis.
  History of other malignancies except cured non-melanoma skin cancer or cured cervical carcinoma in situ.
  Presence of other severe medical illnesses or conditions. Severe heart disease, (myocardial ischemia, myocardial infarction, etc.) Pulmonary disease (COPD, asthma,etc). Renal failure and hepatic failure.
  Clinically significant active infections (patient requiring IV antibiotics, uncontrolled infections, or hospitalized due to infections).
  HIV infection.
  Pregnant or lactating women.
  Medical, social or psychologic factors which would prevent the patient from receiving or cooperating with the full course of therapy or understanding the informed consent procedure.","a patient that has received an organ transplant within the last month, and is still bedridden would be excluded from the primary trial but may be eligible for the secondary trial",Contradiction,Contradiction,True,2156,178,2334,Long,Comparison,Eligibility
7,"History of allergic reactions attributed to compounds of similar chemical or biologic composition to mesna or other agents used in the study (ie. sulfur containing drugs including ""sulfa antibiotics"" and celecoxib).

  Documented allergy to all three of the following antibiotics: cephalosporin, trimethoprim/sulfamethoxazole, and levofloxacin",Any patients with Documented allergy to cephalosporin or trimethoprim/sulfamethoxazole will not be eligible for the secondary trial and documented allergy to levofloxacin or celecoxib will also result in exclusion from the primary trial.,Contradiction,Entailment,False,343,237,580,Moyen,Comparison,Eligibility
8,"INTERVENTION 1: 
  Bisphosphonate IV Q4W
  Open-label intravenous (IV) bisphosphonate once every 4 weeks (Q4W)
INTERVENTION 2: 
  Denosumab 180 mg Q12W
  Open-label denosumab 180 mg by subcutaneous injection once every 12 weeks (Q12W)",The Interventions in the primary trial are administered through different routes.,Entailment,Entailment,True,234,81,315,Court,Single,Intervention
9,"Key Inclusion Criteria:
  - Women with locally advanced, recurrent, or metastatic breast cancer along with confirmation of estrogen-receptor positive (ER+). Measurable disease defined as at least one lesion  10 mm by CT or MRI that can be accurately measured in at least one dimension (CT scan slice thickness  5 mm) OR  Bone lesions: lytic or mixed (lytic + blastic) in the absence of measurable disease as defined above.
  Key Exclusion Criteria:
  - Patients who received more than one chemotherapy line. Patients with only non-measurable lesions other than lytic or mixed (lytic and blastic) bone metastasis.Previous treatment with exemestane, mTOR inhibitors, PI3K inhibitors or AKT inhibitors.

Newly diagnosed or recurrent breast cancer
  Considering a referral or already referred to a plastic surgeon by their surgical oncologist for possible reconstruction
  Considering or completing a mastectomy.
  Does not have known distant metastatic disease (stage IV disease) at the time of recruitment
  Female.
  English-speaking.
  At least 18 years of age.
  Able to understand and willing to sign an IRB-approved written informed consent document.","Women with Newly diagnosed stage IV breast cancer, confirmed as ER+  Considering a mastectomy are eligible for the primary trial and the secondary trial",Contradiction,Contradiction,True,1153,152,1305,Long,Comparison,Eligibility
